Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,29,0,0,0,+0,0.000
03-23-2020,41,0,0,0,+12,1.414
03-24-2020,89,0,0,0,+48,2.171
03-25-2020,127,2,0,0,+38,1.427
03-26-2020,156,2,0,0,+29,1.228
03-27-2020,222,6,0,0,+66,1.423
03-28-2020,236,6,0,0,+14,1.063
03-29-2020,280,6,0,0,+44,1.186
03-30-2020,373,6,0,0,+93,1.332
03-31-2020,517,12,0,0,+144,1.386
04-01-2020,611,15,0,0,+94,1.182
04-02-2020,647,17,0,0,+36,1.059
04-03-2020,891,18,0,0,+244,1.377
04-04-2020,1024,29,0,0,+133,1.149
04-05-2020,1162,36,0,0,+138,1.135
04-06-2020,1468,41,0,0,+306,1.263
04-07-2020,1664,60,0,0,+196,1.134
04-08-2020,1664,60,0,0,+0,1.000
04-09-2020,2183,78,0,0,+519,1.312
04-10-2020,2383,98,0,0,+200,1.092
04-11-2020,2715,107,0,0,+332,1.139
04-12-2020,2946,119,0,2827,+231,1.085
04-13-2020,3358,135,0,3223,+412,1.140
04-14-2020,3543,151,0,3392,+185,1.055
04-15-2020,3758,195,0,3563,+215,1.061
04-16-2020,4163,214,0,3949,+405,1.108
04-17-2020,4520,229,0,4291,+357,1.086
04-18-2020,4743,241,0,4502,+223,1.049
04-19-2020,4871,257,0,4614,+128,1.027
04-20-2020,5272,301,0,4971,+401,1.082
04-21-2020,5493,322,0,5171,+221,1.042
