Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,29,0,0,0,+0,0.000
03-23-2020,41,0,0,0,+12,1.414
03-24-2020,89,0,0,0,+48,2.171
03-25-2020,127,2,0,0,+38,1.427
03-26-2020,156,2,0,0,+29,1.228
03-27-2020,222,6,0,0,+66,1.423
03-28-2020,236,6,0,0,+14,1.063
03-29-2020,280,6,0,0,+44,1.186
03-30-2020,373,6,0,0,+93,1.332
03-31-2020,517,12,0,0,+144,1.386
04-01-2020,611,15,0,0,+94,1.182
04-02-2020,647,17,0,0,+36,1.059
04-03-2020,891,18,0,0,+244,1.377
04-04-2020,1024,29,0,0,+133,1.149
04-05-2020,1162,36,0,0,+138,1.135
