Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,21,1,0,0,+0,0.000
03-23-2020,24,1,0,0,+3,1.143
03-24-2020,28,1,0,0,+4,1.167
03-25-2020,40,2,0,0,+12,1.429
03-26-2020,40,3,0,0,+0,1.000
03-27-2020,104,3,0,0,+64,2.600
03-28-2020,127,4,0,0,+23,1.221
03-29-2020,182,4,0,0,+55,1.433
03-30-2020,223,5,0,0,+41,1.225
03-31-2020,228,8,0,0,+5,1.022
04-01-2020,322,9,0,0,+94,1.412
04-02-2020,384,9,0,0,+62,1.193
04-03-2020,455,10,0,0,+71,1.185
04-04-2020,582,11,0,0,+127,1.279
04-05-2020,648,13,0,0,+66,1.113
04-06-2020,697,19,0,0,+49,1.076
04-07-2020,697,19,0,0,+0,1.000
04-08-2020,914,37,0,0,+217,1.311
04-09-2020,914,37,0,0,+0,1.000
04-10-2020,1077,52,0,0,+163,1.178
