Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,477,5,0,0,+0,0.000
03-23-2020,638,8,0,0,+161,1.338
03-24-2020,876,13,0,0,+238,1.373
03-25-2020,1122,21,0,0,+246,1.281
03-26-2020,1389,26,0,0,+267,1.238
03-27-2020,1810,37,0,0,+421,1.303
03-28-2020,2316,46,0,0,+506,1.280
03-29-2020,2704,56,0,0,+388,1.168
03-30-2020,3195,83,0,0,+491,1.182
03-31-2020,3735,120,0,0,+540,1.169
04-01-2020,4470,146,0,0,+735,1.197
04-02-2020,5069,194,0,0,+599,1.134
04-03-2020,6096,223,0,0,+1027,1.203
04-04-2020,6762,252,0,0,+666,1.109
04-05-2020,7518,293,0,0,+756,1.112
04-06-2020,8270,346,0,0,+752,1.100
