Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,455,1,0,0,+0,0.000
03-23-2020,592,1,0,0,+137,1.301
03-24-2020,671,5,0,0,+79,1.133
03-25-2020,968,5,0,0,+297,1.443
03-26-2020,1197,5,0,0,+229,1.237
03-27-2020,1457,7,0,0,+260,1.217
03-28-2020,1896,8,0,0,+439,1.301
03-29-2020,2209,8,0,0,+313,1.165
03-30-2020,2511,8,0,0,+302,1.137
03-31-2020,2863,8,0,0,+352,1.140
04-01-2020,3321,18,0,0,+458,1.160
04-02-2020,3751,18,0,0,+430,1.129
04-03-2020,4289,42,0,0,+538,1.143
04-04-2020,4872,69,0,0,+583,1.136
04-05-2020,5326,69,0,0,+454,1.093
04-06-2020,5703,119,0,0,+377,1.071
04-07-2020,5990,135,0,0,+287,1.050
