Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,25,0,0,0,+0,0.000
03-23-2020,32,0,0,0,+7,1.280
03-24-2020,64,0,0,0,+32,2.000
03-25-2020,101,0,0,0,+37,1.578
03-26-2020,138,0,0,0,+37,1.366
03-27-2020,187,0,0,0,+49,1.355
03-28-2020,272,0,0,0,+85,1.455
03-29-2020,325,0,0,0,+53,1.195
03-30-2020,380,0,0,0,+55,1.169
03-31-2020,459,2,0,0,+79,1.208
04-01-2020,561,5,0,0,+102,1.222
04-02-2020,621,6,0,0,+60,1.107
04-03-2020,745,7,0,0,+124,1.200
04-04-2020,898,8,0,0,+153,1.205
04-05-2020,963,10,0,0,+65,1.072
04-06-2020,1067,15,0,0,+104,1.108
04-07-2020,1194,26,0,0,+127,1.119
