Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,34,0,0,0,+0,0.000
03-23-2020,43,0,0,0,+9,1.265
03-24-2020,69,0,0,0,+26,1.605
03-25-2020,86,0,0,0,+17,1.246
03-26-2020,110,0,0,0,+24,1.279
03-27-2020,144,0,0,0,+34,1.309
03-28-2020,152,0,0,0,+8,1.056
03-29-2020,216,1,0,0,+64,1.421
03-30-2020,249,4,0,0,+33,1.153
03-31-2020,288,3,0,0,+39,1.157
04-01-2020,319,6,0,0,+31,1.108
04-02-2020,373,6,0,0,+54,1.169
04-03-2020,450,8,0,0,+77,1.206
04-04-2020,517,11,0,0,+67,1.149
04-05-2020,580,14,0,0,+63,1.122
04-06-2020,634,17,0,0,+54,1.093
04-07-2020,713,21,0,0,+79,1.125
04-08-2020,816,24,0,0,+103,1.144
04-09-2020,931,25,0,0,+115,1.141
04-10-2020,1022,28,0,0,+91,1.098
04-11-2020,1107,32,0,0,+85,1.083
04-12-2020,1170,35,0,1135,+63,1.057
04-13-2020,1229,38,0,1191,+59,1.050
