Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,26,0,0,0,+0,0.000
03-23-2020,36,0,0,0,+10,1.385
03-24-2020,42,0,0,0,+6,1.167
03-25-2020,48,0,0,0,+6,1.143
03-26-2020,64,0,0,0,+16,1.333
03-27-2020,88,0,0,0,+24,1.375
03-28-2020,115,0,0,0,+27,1.307
03-29-2020,142,2,0,0,+27,1.235
03-30-2020,178,2,0,0,+36,1.254
03-31-2020,202,0,0,0,+24,1.135
04-01-2020,255,5,0,0,+53,1.262
04-02-2020,294,8,0,0,+39,1.153
04-03-2020,367,9,0,0,+73,1.248
04-04-2020,469,10,0,0,+102,1.278
04-05-2020,547,11,0,0,+78,1.166
04-06-2020,646,11,0,0,+99,1.181
04-07-2020,733,13,0,0,+87,1.135
04-08-2020,801,17,0,0,+68,1.093
04-09-2020,883,21,0,0,+82,1.102
04-10-2020,954,22,0,0,+71,1.080
04-11-2020,1031,22,0,0,+77,1.081
04-12-2020,1095,23,0,1072,+64,1.062
04-13-2020,1155,24,0,1131,+60,1.055
04-14-2020,1207,28,0,1179,+52,1.045
04-15-2020,1261,45,0,1216,+54,1.045
04-16-2020,1326,52,0,1274,+65,1.052
04-17-2020,1366,54,0,1312,+40,1.030
04-18-2020,1456,57,0,1399,+90,1.066
04-19-2020,1587,58,0,1529,+131,1.090
04-20-2020,1663,61,0,1602,+76,1.048
04-21-2020,1765,61,0,1704,+102,1.061
