Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,102,0,0,0,+0,0.000
03-22-2020,102,2,0,0,+0,1.000
03-23-2020,120,2,0,0,+18,1.176
03-24-2020,141,2,0,0,+21,1.175
03-25-2020,187,2,0,0,+46,1.326
03-26-2020,231,3,0,0,+44,1.235
03-27-2020,271,3,0,0,+40,1.173
03-28-2020,304,4,0,0,+33,1.122
03-29-2020,342,5,0,0,+38,1.125
03-30-2020,401,9,0,0,+59,1.173
03-31-2020,495,9,0,0,+94,1.234
04-01-2020,586,9,0,0,+91,1.184
04-02-2020,653,12,0,0,+67,1.114
04-03-2020,757,15,0,0,+104,1.159
04-04-2020,902,21,0,0,+145,1.192
04-05-2020,1002,22,0,0,+100,1.111
04-06-2020,1097,24,0,0,+95,1.095
04-07-2020,1211,22,0,0,+114,1.104
04-08-2020,1440,27,0,0,+229,1.189
04-09-2020,1523,32,0,0,+83,1.058
04-10-2020,1660,38,0,0,+137,1.090
