Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,18,0,0,0,+0,0.000
03-23-2020,43,2,0,0,+25,2.389
03-24-2020,58,2,0,0,+15,1.349
03-25-2020,75,3,0,0,+17,1.293
03-26-2020,105,4,0,0,+30,1.400
03-27-2020,124,4,0,0,+19,1.181
03-28-2020,153,4,0,0,+29,1.234
03-29-2020,164,7,0,0,+11,1.072
03-30-2020,188,9,0,0,+24,1.146
03-31-2020,228,9,0,0,+40,1.213
04-01-2020,244,10,0,0,+16,1.070
04-02-2020,325,11,0,0,+81,1.332
04-03-2020,389,13,0,0,+64,1.197
04-04-2020,621,14,0,0,+232,1.596
04-05-2020,656,22,0,0,+35,1.056
04-06-2020,816,25,0,0,+160,1.244
04-07-2020,892,31,0,0,+76,1.093
04-08-2020,935,33,0,0,+43,1.048
04-09-2020,1000,36,0,0,+65,1.070
04-10-2020,1088,39,0,0,+88,1.088
04-11-2020,1158,45,0,0,+70,1.064
04-12-2020,1223,49,0,1174,+65,1.056
04-13-2020,1273,52,0,1221,+50,1.041
04-14-2020,1295,58,0,1237,+22,1.017
04-15-2020,1325,62,0,1263,+30,1.023
04-16-2020,1389,66,0,1323,+64,1.048
04-17-2020,1424,66,0,1358,+35,1.025
04-18-2020,1476,72,0,1404,+52,1.037
04-19-2020,1512,72,0,1440,+36,1.024
04-20-2020,1534,74,0,1460,+22,1.015
04-21-2020,1560,90,0,1470,+26,1.017
